organization,occurredAt,customerId,customerName,serviceLocationId,serviceLocationDescription,containerId,containerDescription,containerContentType,containerCubicYards,level,wasEmptied,emptyOccurredAt,levelAtEmpty,latitude,longitude,positionAccuracy,imageUrl
universityofmaryland,2020-03-16T22:37:44.460Z,,University of Maryland,04,Patapsco Building,QK633SDAVXXC,07,recycle,8,20,f,,,38.976261,-76.925529,24,https://images.compology.com/1/raw_device_data/caa962dd-9f8d-4548-8711-50ec2f103d3b
universityofmaryland,2020-03-16T22:40:18.371Z,,University of Maryland,01,Gosset Football Teamhouse,PRP9VRTJQT8V,02,refuse,6,5,f,,,38.98999,-76.945587,17,https://images.compology.com/1/raw_device_data/c121aaf0-2bf0-49b2-be56-d7cf6282682e
universityofmaryland,2020-03-16T22:40:23.331Z,,University of Maryland,02,Van Munching Hall,K0V7D3VHWHMN,06,refuse,6,5,f,,,38.983417,-76.947998,26,https://images.compology.com/1/raw_device_data/4f79dded-8fe3-405a-b3a2-2d30cd1913a1
universityofmaryland,2020-03-17T01:45:34.020Z,,University of Maryland,01,Gosset Football Teamhouse,J6MMBE75XVYA,01,recycle,8,25,f,,,38.990169,-76.945724,24,https://images.compology.com/1/raw_device_data/18a849b2-f19a-4bb8-93dc-13e78917bcf8
universityofmaryland,2020-03-17T01:45:53.726Z,,University of Maryland,02,Van Munching Hall,K0V7D3VHWHMN,06,refuse,6,,f,,,38.98386,-76.947975,5.9,https://images.compology.com/1/raw_device_data/f13522d0-b3f4-4c4f-ae9f-c393e6bd8989
universityofmaryland,2020-03-17T01:46:06.809Z,,University of Maryland,05,UM Technology Ventures,DM5S9RVP4WFG,09,recycle,8,15,f,,,38.97924,-76.925453,22,https://images.compology.com/1/raw_device_data/64f7a1fc-b035-49fc-972d-8049ceb923a8
universityofmaryland,2020-03-17T01:47:14.365Z,,University of Maryland,03,Denton Hall,Z1Y5KFA5H3NA,04,refuse,6,15,f,,,38.992385,-76.950538,29,https://images.compology.com/1/raw_device_data/e7412937-ec82-4ce0-83b4-048c4323e8aa
universityofmaryland,2020-03-17T01:47:30.425Z,,University of Maryland,03,Denton Hall,E5RGSTA85A03,03,recycle,8,,f,,,38.992336,-76.950721,27,https://images.compology.com/1/raw_device_data/f3d3f709-1698-488f-a010-baa505f60d58
universityofmaryland,2020-03-17T01:47:54.129Z,,University of Maryland,05,UM Technology Ventures,7NGF1MRE6SKT,10,refuse,6,35,f,,,38.979278,-76.925468,29,https://images.compology.com/1/raw_device_data/5537bd9c-be25-40af-9e03-d9079d55a4f9
universityofmaryland,2020-03-17T01:48:20.071Z,,University of Maryland,04,Patapsco Building,QK633SDAVXXC,07,recycle,8,15,f,,,38.976295,-76.925582,27,https://images.compology.com/1/raw_device_data/79bbea1c-212c-4a4c-8f7d-5398ba37de0e
universityofmaryland,2020-03-17T01:48:21.917Z,,University of Maryland,01,Gosset Football Teamhouse,PRP9VRTJQT8V,02,refuse,6,5,f,,,38.990234,-76.945632,25,https://images.compology.com/1/raw_device_data/37b4a54f-4c15-46c1-b86c-1736dd940632
universityofmaryland,2020-03-17T02:51:20.790Z,,University of Maryland,04,Patapsco Building,TBCCR5C8TCBR,08,refuse,8,35,f,,,38.976539,-76.925384,15,https://images.compology.com/1/raw_device_data/22b5b153-d01d-4a03-b257-737f648d31f0
universityofmaryland,2020-03-17T05:56:31.357Z,,University of Maryland,04,Patapsco Building,QK633SDAVXXC,07,recycle,8,15,f,,,38.976295,-76.925521,28,https://images.compology.com/1/raw_device_data/c74ea814-3e14-4dec-b481-cd1403fb5b0d
universityofmaryland,2020-03-17T05:56:45.889Z,,University of Maryland,02,Van Munching Hall,K0V7D3VHWHMN,06,refuse,6,0,f,,,38.983531,-76.947601,22,https://images.compology.com/1/raw_device_data/8c869d49-b75e-4046-b7d5-d3788de55aaa
universityofmaryland,2020-03-17T05:57:34.123Z,,University of Maryland,01,Gosset Football Teamhouse,J6MMBE75XVYA,01,recycle,8,25,f,,,38.990043,-76.945594,30,https://images.compology.com/1/raw_device_data/7f6fdea8-92fc-49de-bcbe-a1dfb2532844
universityofmaryland,2020-03-17T05:57:47.140Z,,University of Maryland,03,Denton Hall,Z1Y5KFA5H3NA,04,refuse,6,15,f,,,38.992301,-76.950447,29,https://images.compology.com/1/raw_device_data/4f5d0858-25e4-44b1-98fe-214bbced92ea
