organization,occurredAt,customerId,customerName,serviceLocationId,serviceLocationDescription,containerId,containerDescription,containerContentType,containerCubicYards,level,wasEmptied,emptyOccurredAt,levelAtEmpty,latitude,longitude,positionAccuracy,imageUrl
universityofmaryland,2020-02-26T17:37:27.562Z,,University of Maryland,01,Gosset Football Teamhouse,J6MMBE75XVYA,01,recycle,8,5,f,,,38.990116,-76.945808,6.1,https://images.compology.com/1/raw_device_data/98b99254-712e-4c0e-b03d-9884159c5fc4
universityofmaryland,2020-02-26T17:37:33.515Z,,University of Maryland,02,Van Munching Hall,K0V7D3VHWHMN,06,refuse,6,,f,,,38.983715,-76.947845,18,https://images.compology.com/1/raw_device_data/f9f88cb6-ecb0-4a60-ac7a-ad81eff63e22
universityofmaryland,2020-02-26T17:38:45.731Z,,University of Maryland,05,UM Technology Ventures,DM5S9RVP4WFG,09,recycle,8,10,f,,,38.979328,-76.925514,6,https://images.compology.com/1/raw_device_data/36e40b0e-f5fe-4581-b970-8b218f2c3200
universityofmaryland,2020-02-26T17:39:36.837Z,,University of Maryland,03,Denton Hall,Z1Y5KFA5H3NA,04,refuse,6,10,f,,,38.99245,-76.950614,6,https://images.compology.com/1/raw_device_data/861be585-6d85-49a0-b6a1-57ebbbb63a98
universityofmaryland,2020-02-26T17:40:12.234Z,,University of Maryland,04,Patapsco Building,TBCCR5C8TCBR,08,refuse,8,5,f,,,38.976341,-76.925735,9.5,https://images.compology.com/1/raw_device_data/3d7504a8-f1b6-43eb-90ec-d9d8b1a100b1
universityofmaryland,2020-02-26T17:40:35.274Z,,University of Maryland,02,Van Munching Hall,D7CA3VQWCBEG,05,recycle,6,5,f,,,38.983615,-76.947685,16,https://images.compology.com/1/raw_device_data/d45ee839-6b77-40b2-bca2-fc88b303a38c
universityofmaryland,2020-02-27T01:05:57.327Z,,University of Maryland,05,UM Technology Ventures,7NGF1MRE6SKT,10,refuse,6,22,f,,,38.979332,-76.925552,18,https://images.compology.com/1/raw_device_data/bbfd757d-7e90-452e-9262-10674d9b872a
universityofmaryland,2020-02-27T01:06:39.767Z,,University of Maryland,02,Van Munching Hall,K0V7D3VHWHMN,06,refuse,6,15,f,,,38.983398,-76.947853,18,https://images.compology.com/1/raw_device_data/774b04fe-bcae-4819-9181-ee5a5e36d706
universityofmaryland,2020-02-27T01:06:47.914Z,,University of Maryland,04,Patapsco Building,TBCCR5C8TCBR,08,refuse,8,7,f,,,38.976493,-76.92527,16,https://images.compology.com/1/raw_device_data/6cd1fce0-900a-410b-bec6-06dd4db4fe09
universityofmaryland,2020-02-27T01:07:31.698Z,,University of Maryland,05,UM Technology Ventures,DM5S9RVP4WFG,09,recycle,8,10,f,,,38.979377,-76.92556,11,https://images.compology.com/1/raw_device_data/f7835f95-8aa6-4414-9745-12fad25bcf38
universityofmaryland,2020-02-27T01:08:00.451Z,,University of Maryland,01,Gosset Football Teamhouse,PRP9VRTJQT8V,02,refuse,6,0,f,,,38.990112,-76.945732,12,https://images.compology.com/1/raw_device_data/571a64b2-dee7-419f-b118-da5c44fa2d2c
